Site ID,Channel,Campaign Name,Country,Spend,Installs,IPM,CPI,D1 Total Revenue,D3 Total Revenue,D7 IAP Revenue,,D1 Total ROAS,D3 Total ROAS,D7 Total ROAS
275127,IronSource,nk_a16_is_01,US,6102.01,7366,18.62980161,0.828402118,856.0399,1369.7254,1725.7877,706.2968,0.140288184,0.224471182,0.282822824
267173,IronSource,nk_a16_is_01,US,4822.5,5716,24.85649678,0.843684395,791.308,1295.0671,1608.68,732.1195,0.164086677,0.268546833,0.33357802
201427,IronSource,nk_a16_is_01,US,3564.46,4031,22.56670362,0.88426197,599.2544,926.4009,1148.829,618.8071,0.168119266,0.259899368,0.322300994
236335,IronSource,nk_a16_is_01,US,3545.64,3570,22.72206523,0.993176471,891.6925,1212.217,1419.9644,989.0127,0.251489858,0.341889476,0.400481831
266987,IronSource,nk_a16_is_01,US,3109.76,3587,20.5154309,0.866952885,423.8588,653.9463,846.5654,381.101,0.136299522,0.21028835,0.272228532
202345,IronSource,nk_a16_is_01,US,2905,3043,18.13241489,0.954650016,632.2243,878.8831,1065.4623,680.008,0.21763315,0.302541515,0.366768434
105349,IronSource,nk_a16_is_01,US,2898.42,3589,18.97465992,0.807584285,326.5432,536.1606,695.2008,204.463,0.112662485,0.18498375,0.239855093
261897,IronSource,nk_a16_is_01,US,2692.25,3231,26.30357797,0.833255958,707.8258,979.4485,1159.692,818.4158,0.26291236,0.363802953,0.430751973
280307,IronSource,nk_a16_is_01,US,2617.01,3054,17.51859989,0.856912246,374.9769,592.8445,749.2063,289.576,0.143284474,0.226535053,0.286283316
255219,IronSource,nk_a16_is_01,US,2410.06,2771,17.37162488,0.869743775,493.6013,703.6583,848.4113,499.779,0.204808718,0.291967129,0.35202912
251849,IronSource,nk_a16_is_01,US,2356.71,2464,26.40490377,0.956456981,398.6217,588.5572,718.1338,378.051,0.169143297,0.249736794,0.304718782
252767,IronSource,nk_a16_is_01,US,2260.68,2783,20.28070891,0.812317643,334.1436,531.9793,686.0693,335.615,0.147806678,0.235318267,0.303479174
258439,IronSource,nk_a16_is_01,US,2216.59,2494,9.872731231,0.888769046,328.8124,551.0725,689.7019,344.155,0.148341552,0.248612734,0.311154476
186711,IronSource,nk_a16_is_01,US,2099.77,2247,19.40732935,0.934477081,473.3374,681.9216,811.8077,509.0448,0.225423451,0.32476014,0.386617439
288561,IronSource,nk_a16_is_01,US,2004.7,2423,20.64358924,0.827362773,389.3625,592.2713,709.3219,336.287,0.194224822,0.295441363,0.353829451
240429,IronSource,nk_a16_is_01,US,1975.59,2174,15.80608105,0.908735051,427.6254,617.2022,722.3853,491.2861,0.216454528,0.312414114,0.365655475
49874,IronSource,nk_a16_is_01,US,1815.07,1924,18.14786168,0.943383576,460.48,609.8359,726.0825,482.496,0.253698204,0.335984783,0.400030026
216173,IronSource,nk_a16_is_01,US,1792,1907,2.406916572,0.939695857,369.1933,576.0617,682.0778,221.9153,0.206023047,0.321463002,0.380623772
33397,IronSource,nk_a16_is_01,US,1775.82,1904,15.69882011,0.932678571,261.6852,422.768,530.3913,259.546,0.147360205,0.238069174,0.298674021
266191,IronSource,nk_a16_is_01,US,1744.94,2103,18.13337472,0.829738469,233.9734,385.6607,499.5443,215.684,0.134086788,0.221016597,0.286281649
249347,IronSource,nk_a16_is_01,US,1698.79,2097,11.45932949,0.810104912,262.9898,409.1516,488.2791,258.279,0.154810071,0.240848839,0.287427581
237989,IronSource,nk_a16_is_01,US,1631.53,1767,23.34584082,0.923333333,227.6012,366.3762,503.9209,236.677,0.139501695,0.224559892,0.308864011
238715,IronSource,nk_a16_is_01,US,1557.95,1668,15.92195569,0.934022782,330.5831,458.7277,560.3664,316.253,0.212191084,0.294443146,0.35968189
150663,IronSource,nk_a16_is_01,US,1334.49,1601,22.84336387,0.83353529,214.945,315.8267,405.8183,199.577,0.161069023,0.236664718,0.304099918
196843,IronSource,nk_a16_is_01,US,1280.28,1533,13.73311356,0.835146771,201.8048,320.3734,387.1922,145.929,0.157625519,0.250236979,0.30242775
218329,IronSource,nk_a16_is_01,US,1276.2,1498,17.53708191,0.851935915,293.8664,413.1018,492.4666,314.195,0.230266729,0.323696756,0.385885128
267293,IronSource,nk_a16_is_01,US,1105.81,1363,20.65495764,0.811305943,235.2168,329.1877,386.779,252.9472,0.212709959,0.297689205,0.349769852
