Campaign ID,Campaign Name,Country,Application ID,Application name,Pricing Model,Bid,Impressions,Clicks,Installs,Completions,Spend,D1 Ad Revenue,D3 Ad Revenue,D7 Ad Revenue,D14 Ad Revenue,D30 Ad Revenue,D1 IAP Revenue,D3 IAP Revenue,D7 IAP Revenue,D14 IAP Revenue,D30 IAP Revenue,D1 ROAS,D3 ROAS,D7 ROAS,D14 ROAS,D30 ROAS,D1 Retention,D3 Retention,D7 Retention
4295027,Hempire - iOS - RV - US,US,all,all,CPI,1.3,2129052,440129,18767,18761,39943.34,1745.75,2843.77,4239.31,5784.16,7692.61,7396.66,11448.53,16314.64,20656.46,25340.43,22.89,35.78,51.46,66.2,82.7,0,0,0
4295027,Hempire - iOS - RV - US,US,240429,Idle Theme Park - Tycoon Game,CPI,1.15,258281,60029,2752,2752,4289.7,147.32,239.88,353.02,470.6,611.87,619.45,1073.67,1450.04,2065.34,2549.75,17.87,30.62,42.03,59.12,73.7,0,0,0
4295027,Hempire - iOS - RV - US,US,206509,Weed Factory,CPI,0.71,82655,18077,1824,1822,2093.41,119.58,185.04,257.92,346.15,436.72,488.15,792.57,1015.19,1205.9,1331.58,29.03,46.7,60.82,74.14,84.47,0,0,0
4295027,Hempire - iOS - RV - US,US,202345,Idle Supermarket Tycoon - Shop,CPI,1.5,171390,39127,1602,1602,2880.81,79.68,130.9,188.97,244.14,304.52,381,643.51,859.17,1123.74,1280.47,15.99,26.88,36.38,47.48,55.02,0,0,0
4295027,Hempire - iOS - RV - US,US,235925,Breaking Bad Criminal Elements,CPI,0.79,74476,9796,1231,1232,2500.4,188.94,348.76,565.58,827.63,1154.59,1211.91,1751.98,2387.01,2772.18,3169.65,56.02,84.02,118.08,143.97,172.94,0,0,0
4295027,Hempire - iOS - RV - US,US,163649,Narcos: Cartel Wars,CPI,2.6,66548,9047,829,831,2188.31,173.48,282.21,413.31,534.12,680.18,773.53,1086.94,1365.45,1677.09,1985.61,43.28,62.57,81.28,101.05,121.82,0,0,0
4295027,Hempire - iOS - RV - US,US,33397,Episode - Choose Your Story,CPI,0.35,85974,27219,708,708,1081.01,30.96,45.27,62.29,81.11,108.74,187.56,237.44,317.27,359.23,371.21,20.21,26.15,35.11,40.73,44.4,0,0,0
4295027,Hempire - iOS - RV - US,US,119893,Fish Tycoon 2: Virtual Aquarium,CPI,0.56,54374,7973,555,556,1818.62,52.45,78.79,119.94,166.72,224.24,460.2,617.96,793.69,1096.11,1540.59,28.19,38.31,50.24,69.44,97.04,0,0,0
4295027,Hempire - iOS - RV - US,US,217431,Criminal Minds The Mobile Game,CPI,1.18,32545,6379,458,458,1802.91,50.39,89.5,143.51,198.36,266.18,560.27,842.89,1327.48,1657.07,1994.55,33.87,51.72,81.59,102.91,125.39,0,0,0
4295027,Hempire - iOS - RV - US,US,237989,Idle RollerCoaster,CPI,0.62,37456,11859,364,363,581.34,18.31,26.76,38.66,48.74,57.19,93.77,146.68,303.46,329.4,360.33,19.28,29.83,58.85,65.05,71.82,0,0,0
4295027,Hempire - iOS - RV - US,US,247743,Piggy GO - Around The World,CPI,0.33,37989,6180,353,351,1134.95,39.41,68.8,113.92,155.94,222.75,103.76,350.46,736.21,924.97,1349.7,12.62,36.94,74.9,95.24,138.55,0,0,0
4295027,Hempire - iOS - RV - US,US,93713,Fun Run 3: Arena Running Game,CPI,0.48,55172,9717,352,350,838.63,35.64,58.06,79.28,101.02,122.07,121.79,195.68,226.6,276.56,313.46,18.77,30.26,36.47,45.02,51.93,0,0,0
